tab 	magic_measurements																			
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW1-1	PW1	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:12:47.00	59.06342638	g	10.26427167	1.94E-06	1174112	0.067	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	PW1	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:13:01.00	57.84216049	g	1.911157746	4.02E-06	1174113	0.267	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	PW1	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:13:15.00	-17.48961064	g	43.4803201	5.37E-06	1174114	0.467	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	PW1	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:13:29.00	7.829155422	g	32.18364405	3.51E-07	1174115	0.667	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	PW1	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:13:43.00	17.84147376	g	27.23333752	6.99E-06	1174116	0.867	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	PW1	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:13:57.00	-1.978920037	g	26.24292997	8.49E-06	1174117	1.067	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	PW1	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:14:11.00	-1.954794778	g	26.4242676	7.42E-06	1174118	1.267	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	PW1	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:02:26:09:14:25.00	-18.07805396	g	48.47831608	3.45E-07	1174119	1.467	u		0		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	PW1	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:02:27:11:13:15.00	55.07310872	g	8.514351071	1.88E-06	1174571	0.067	u		0		77
This study	Botswana 2012	Kgale Peak Sill	PW1-2	PW1	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:02:27:11:13:30.00	57.51540552	g	4.375391405	3.57E-06	1174572	0.267	u		0		77
This study	Botswana 2012	Kgale Peak Sill	PW1-3	PW1	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:02:27:11:13:44.00	-10.99927355	g	42.38038499	4.64E-06	1174573	0.467	u		0		77
This study	Botswana 2012	Kgale Peak Sill	PW1-4	PW1	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:02:27:11:13:58.00	5.189445972	g	31.53734616	2.77E-07	1174574	0.667	u		0		77
This study	Botswana 2012	Kgale Peak Sill	PW1-6	PW1	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:02:27:11:14:12.00	20.32118486	g	25.49739555	6.11E-06	1174575	0.867	u		0		77
This study	Botswana 2012	Kgale Peak Sill	PW1-7	PW1	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:02:27:11:14:26.00	-6.173869606	g	24.02878778	7.05E-06	1174576	1.067	u		0		77
This study	Botswana 2012	Kgale Peak Sill	PW1-8	PW1	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:02:27:11:14:40.00	-3.381743605	g	27.3390655	5.93E-06	1174577	1.267	u		0		77
